,Country,variable,value
393,Andorra,2010,0.52
394,Armenia,2010,4.46
395,Australia,2010,416.72
396,Austria,2010,63.79
397,Belarus,2010,36.42
398,Belgium,2010,103.46
399,Bosnia and Herzegovina,2010,21.19
400,Bulgaria,2010,21.29
401,Croatia,2010,18.63
402,Cyprus,2010,7.55
403,Czech Republic,2010,106.98
404,Denmark,2010,48.16
405,Estonia,2010,17.58
406,Finland,2010,47.7
407,France,2010,281.45
408,Germany,2010,754.58
409,Greece,2010,86.49
410,Hungary,2010,50.15
411,Iceland,2010,1.93
412,Ireland,2010,38.5
413,Italy,2010,370.56
414,Latvia,2010,5.28
415,Libya,2010,57.23
416,Lithuania,2010,12.64
417,Luxembourg,2010,10.54
418,Malta,2010,2.58
419,Moldova,2010,7.29
420,Montenegro,2010,1.55
421,Netherlands,2010,172.28
422,Norway,2010,19.05
423,Poland,2010,242.12
424,Portugal,2010,51.53
425,Romania,2010,74.81
426,Russia,2010,814.11
427,Serbia,2010,11.07
428,Slovakia,2010,27.05
429,Slovenia,2010,4.28
430,Spain,2010,254.12
431,Sweden,2010,37.15
432,Switzerland,2010,42.85
433,Turkey,2010,254.16
434,Ukraine,2010,244.87
435,United Kingdom,2010,470.83
436,Azerbaijan,2010,22.33
437,Georgia,2010,1.81
438,Israel,2010,70.51
439,Morocco,2010,49.14
440,Macedonia,2010,8.73
441,Albania,2009,3.2
442,Andorra,2009,0.52
443,Armenia,2009,4.63
444,Australia,2009,424.33
445,Austria,2009,58.26
446,Belarus,2009,32.15
447,Belgium,2009,96.65
448,Bosnia and Herzegovina,2009,20.93
449,Bulgaria,2009,19.41
450,Croatia,2009,19.48
451,Cyprus,2009,7.91
452,Czech Republic,2009,104.22
453,Denmark,2009,47.87
454,Estonia,2009,13.63
455,Finland,2009,39.31
456,France,2009,277.4
457,Germany,2009,716.32
458,Greece,2009,93.65
459,Hungary,2009,50.11
460,Iceland,2009,2.08
461,Ireland,2009,38.89
462,Italy,2009,362.34
463,Latvia,2009,6.45
464,Libya,2009,53.81
465,Lithuania,2009,11.72
466,Luxembourg,2009,9.95
467,Malta,2009,2.5
468,Moldova,2009,6.63
469,Montenegro,2009,2.38
470,Netherlands,2009,161.66
471,Norway,2009,14.63
472,Poland,2009,225.64
473,Portugal,2009,56.89
474,Romania,2009,77.83
475,Russia,2009,726.06
476,Serbia,2009,11.48
477,Slovakia,2009,25.44
478,Slovenia,2009,4.01
479,Spain,2009,268.35
480,Sweden,2009,31.76
481,Switzerland,2009,41.31
482,Turkey,2009,244.87
483,Ukraine,2009,227.7
484,United Kingdom,2009,454.16
485,Azerbaijan,2009,23.33
486,Georgia,2009,2.11
487,Israel,2009,65.71
488,Morocco,2009,46.02
489,Macedonia,2009,8.96
490,Albania,2008,3.05
491,Andorra,2008,0.54
492,Armenia,2008,5.81
493,Australia,2008,417.88
494,Austria,2008,64.56
495,Belarus,2008,35.27
496,Belgium,2008,103.92
497,Bosnia and Herzegovina,2008,21.11
498,Bulgaria,2008,26.47
499,Croatia,2008,20.91
500,Cyprus,2008,8.13
501,Czech Republic,2008,111.36
502,Denmark,2008,50.1
503,Estonia,2008,16.96
504,Finland,2008,41.74
505,France,2008,291.73
506,Germany,2008,771.22
